dataset,auroc,accuracy,tpr_at_fpr,fpr,arm,n,val_mode,lr_factor,seed,mode,n_redteam,n_dev_offered,n_dev_fit,n_dev_val,ft_best_epoch
eval_daily_dilemmas,0.9773531861724282,0.9336734693877552,0.8775510204081632,0.01,deepseekv4pro,16,dev,0.1,13,finetune,878,64,49,15,5.0
mean,0.9116023676943488,0.8733316684882908,0.6422554021608643,0.01,deepseekv4pro,16,dev,0.1,13,finetune,878,64,49,15,5.0
eval_ai_dilemmas,0.9963235294117648,0.9632352941176472,0.9411764705882352,0.01,deepseekv4pro,16,dev,0.1,42,finetune,878,64,49,15,7.0
eval_ant_hh,0.7165292938293607,0.6716417910447762,0.0,0.01,deepseekv4pro,16,dev,0.1,42,finetune,878,64,49,15,7.0
eval_balanced_refusal,0.9516875,0.88,0.795,0.01,deepseekv4pro,16,dev,0.1,42,finetune,878,64,49,15,7.0
eval_daily_dilemmas,0.9785506039150356,0.9591836734693876,0.0,0.01,deepseekv4pro,16,dev,0.1,42,finetune,878,64,49,15,7.0
mean,0.9107727317890402,0.8685151896579527,0.4340441176470588,0.01,deepseekv4pro,16,dev,0.1,42,finetune,878,64,49,15,7.0
eval_ai_dilemmas,0.9974048442906576,0.9705882352941176,0.9411764705882352,0.01,deepseekv4pro,16,dev,0.1,7,finetune,878,64,49,15,10.0
eval_ant_hh,0.7557362441523724,0.7164179104477612,0.0,0.01,deepseekv4pro,16,dev,0.1,7,finetune,878,64,49,15,10.0
eval_balanced_refusal,0.8879625,0.8175,0.545,0.01,deepseekv4pro,16,dev,0.1,7,finetune,878,64,49,15,10.0
eval_daily_dilemmas,0.9844856309870886,0.9387755102040816,0.0,0.01,deepseekv4pro,16,dev,0.1,7,finetune,878,64,49,15,10.0
mean,0.9063973048575296,0.8608204139864901,0.3715441176470588,0.01,deepseekv4pro,16,dev,0.1,7,finetune,878,64,49,15,10.0
eval_ai_dilemmas,0.9997837370242214,0.9852941176470588,0.9852941176470588,0.01,deepseekv4pro,16,dev,1.0,13,finetune,878,64,49,15,1.0
eval_ant_hh,0.7467141902428157,0.6865671641791045,0.0,0.01,deepseekv4pro,16,dev,1.0,13,finetune,878,64,49,15,1.0
eval_balanced_refusal,0.9096125,0.82,0.615,0.01,deepseekv4pro,16,dev,1.0,13,finetune,878,64,49,15,1.0
eval_daily_dilemmas,0.991045397750937,0.9642857142857144,0.8979591836734694,0.01,deepseekv4pro,16,dev,1.0,13,finetune,878,64,49,15,1.0
mean,0.9117889562544936,0.8640367490279695,0.624563325330132,0.01,deepseekv4pro,16,dev,1.0,13,finetune,878,64,49,15,1.0
eval_ai_dilemmas,0.9991349480968856,0.9705882352941176,0.0,0.01,deepseekv4pro,16,dev,1.0,42,finetune,878,64,49,15,1.0
eval_ant_hh,0.722098462909334,0.6716417910447762,0.0,0.01,deepseekv4pro,16,dev,1.0,42,finetune,878,64,49,15,1.0
eval_balanced_refusal,0.9430875,0.88,0.61,0.01,deepseekv4pro,16,dev,1.0,42,finetune,878,64,49,15,1.0
eval_daily_dilemmas,0.9858392336526448,0.9591836734693876,0.0,0.01,deepseekv4pro,16,dev,1.0,42,finetune,878,64,49,15,1.0
mean,0.912540036164716,0.8703534249520704,0.1525,0.01,deepseekv4pro,16,dev,1.0,42,finetune,878,64,49,15,1.0
eval_ai_dilemmas,0.9984861591695502,0.9705882352941176,0.9411764705882352,0.01,deepseekv4pro,16,dev,1.0,7,finetune,878,64,49,15,2.0
eval_ant_hh,0.7346847850300735,0.6940298507462687,0.0,0.01,deepseekv4pro,16,dev,1.0,7,finetune,878,64,49,15,2.0
eval_balanced_refusal,0.943125,0.8775,0.76,0.01,deepseekv4pro,16,dev,1.0,7,finetune,878,64,49,15,2.0
eval_daily_dilemmas,0.9903685964181592,0.9438775510204082,0.9183673469387756,0.01,deepseekv4pro,16,dev,1.0,7,finetune,878,64,49,15,2.0
mean,0.9166661351544456,0.8714989092651986,0.6548859543817527,0.01,deepseekv4pro,16,dev,1.0,7,finetune,878,64,49,15,2.0
eval_ai_dilemmas,0.9948096885813148,0.9632352941176472,0.0,0.01,deepseekv4pro,16,mixed,0.1,13,finetune,878,64,49,15,33.0
eval_ant_hh,0.7340164847404766,0.7014925373134329,0.0,0.01,deepseekv4pro,16,mixed,0.1,13,finetune,878,64,49,15,33.0
eval_balanced_refusal,0.928,0.875,0.745,0.01,deepseekv4pro,16,mixed,0.1,13,finetune,878,64,49,15,33.0
eval_daily_dilemmas,0.9821428571428572,0.9438775510204082,0.8979591836734694,0.01,deepseekv4pro,16,mixed,0.1,13,finetune,878,64,49,15,33.0
mean,0.909742257616162,0.870901345612872,0.4107397959183673,0.01,deepseekv4pro,16,mixed,0.1,13,finetune,878,64,49,15,33.0
eval_ai_dilemmas,0.995999134948097,0.9558823529411764,0.9411764705882352,0.01,deepseekv4pro,16,mixed,0.1,42,finetune,878,64,49,15,16.0
eval_ant_hh,0.7163065270661617,0.6716417910447762,0.0,0.01,deepseekv4pro,16,mixed,0.1,42,finetune,878,64,49,15,16.0
eval_balanced_refusal,0.9469125,0.875,0.765,0.01,deepseekv4pro,16,mixed,0.1,42,finetune,878,64,49,15,16.0
eval_daily_dilemmas,0.9784464806330696,0.9540816326530612,0.0,0.01,deepseekv4pro,16,mixed,0.1,42,finetune,878,64,49,15,16.0
mean,0.909416160661832,0.8641514441597535,0.4265441176470588,0.01,deepseekv4pro,16,mixed,0.1,42,finetune,878,64,49,15,16.0
eval_ai_dilemmas,0.997621107266436,0.9705882352941176,0.9411764705882352,0.01,deepseekv4pro,16,mixed,0.1,7,finetune,878,64,49,15,12.0
eval_ant_hh,0.7548451770995768,0.7164179104477612,0.0,0.01,deepseekv4pro,16,mixed,0.1,7,finetune,878,64,49,15,12.0
eval_balanced_refusal,0.8894124999999999,0.8175,0.55,0.01,deepseekv4pro,16,mixed,0.1,7,finetune,878,64,49,15,12.0
eval_daily_dilemmas,0.9845376926280716,0.9387755102040816,0.0,0.01,deepseekv4pro,16,mixed,0.1,7,finetune,878,64,49,15,12.0
mean,0.9066041192485212,0.8608204139864901,0.3727941176470588,0.01,deepseekv4pro,16,mixed,0.1,7,finetune,878,64,49,15,12.0
eval_ai_dilemmas,0.9997837370242216,0.9852941176470588,0.9852941176470588,0.01,deepseekv4pro,16,mixed,1.0,13,finetune,878,64,49,15,5.0
eval_ant_hh,0.7470483403876143,0.6865671641791045,0.0,0.01,deepseekv4pro,16,mixed,1.0,13,finetune,878,64,49,15,5.0
eval_balanced_refusal,0.9110625,0.82,0.62,0.01,deepseekv4pro,16,mixed,1.0,13,finetune,878,64,49,15,5.0
eval_daily_dilemmas,0.9910453977509373,0.9642857142857144,0.8979591836734694,0.01,deepseekv4pro,16,mixed,1.0,13,finetune,878,64,49,15,5.0
mean,0.9122349937906932,0.8640367490279695,0.6258133253301321,0.01,deepseekv4pro,16,mixed,1.0,13,finetune,878,64,49,15,5.0
eval_ai_dilemmas,0.9991349480968856,0.9705882352941176,0.0,0.01,deepseekv4pro,16,mixed,1.0,42,finetune,878,64,49,15,1.0
eval_ant_hh,0.722098462909334,0.6716417910447762,0.0,0.01,deepseekv4pro,16,mixed,1.0,42,finetune,878,64,49,15,1.0
eval_balanced_refusal,0.9430875,0.88,0.61,0.01,deepseekv4pro,16,mixed,1.0,42,finetune,878,64,49,15,1.0
eval_daily_dilemmas,0.9858392336526448,0.9591836734693876,0.0,0.01,deepseekv4pro,16,mixed,1.0,42,finetune,878,64,49,15,1.0
mean,0.912540036164716,0.8703534249520704,0.1525,0.01,deepseekv4pro,16,mixed,1.0,42,finetune,878,64,49,15,1.0
eval_ai_dilemmas,0.9984861591695502,0.9705882352941176,0.9411764705882352,0.01,deepseekv4pro,16,mixed,1.0,7,finetune,878,64,49,15,2.0
eval_ant_hh,0.7346847850300735,0.6940298507462687,0.0,0.01,deepseekv4pro,16,mixed,1.0,7,finetune,878,64,49,15,2.0
eval_balanced_refusal,0.943125,0.8775,0.76,0.01,deepseekv4pro,16,mixed,1.0,7,finetune,878,64,49,15,2.0
eval_daily_dilemmas,0.9903685964181592,0.9438775510204082,0.9183673469387756,0.01,deepseekv4pro,16,mixed,1.0,7,finetune,878,64,49,15,2.0
mean,0.9166661351544456,0.8714989092651986,0.6548859543817527,0.01,deepseekv4pro,16,mixed,1.0,7,finetune,878,64,49,15,2.0
eval_ai_dilemmas,0.8506704152249135,0.5220588235294118,0.2794117647058823,0.01,deepseekv4pro,2,mixed,0.1,13,finetune,878,8,6,2,1.0
eval_ant_hh,0.7473824905324126,0.6492537313432836,0.0,0.01,deepseekv4pro,2,mixed,0.1,13,finetune,878,8,6,2,1.0
eval_balanced_refusal,0.8356125,0.715,0.72,0.01,deepseekv4pro,2,mixed,0.1,13,finetune,878,8,6,2,1.0
eval_daily_dilemmas,0.9853706788837984,0.8469387755102041,0.6530612244897959,0.01,deepseekv4pro,2,mixed,0.1,13,finetune,878,8,6,2,1.0
mean,0.8547590211602811,0.6833128325957248,0.4131182472989195,0.01,deepseekv4pro,2,mixed,0.1,13,finetune,878,8,6,2,1.0
eval_ai_dilemmas,0.9429065743944636,0.5147058823529411,0.7205882352941176,0.01,deepseekv4pro,2,mixed,0.1,42,finetune,878,8,6,2,4.0
eval_ant_hh,0.7147471597237692,0.6343283582089553,0.0,0.01,deepseekv4pro,2,mixed,0.1,42,finetune,878,8,6,2,4.0
eval_balanced_refusal,0.8994999999999999,0.6975,0.695,0.01,deepseekv4pro,2,mixed,0.1,42,finetune,878,8,6,2,4.0
eval_daily_dilemmas,0.9866201582673886,0.7704081632653061,0.6020408163265306,0.01,deepseekv4pro,2,mixed,0.1,42,finetune,878,8,6,2,4.0
mean,0.8859434730964053,0.6542356009568007,0.504407262905162,0.01,deepseekv4pro,2,mixed,0.1,42,finetune,878,8,6,2,4.0
eval_ai_dilemmas,0.7730320069204151,0.5,0.1176470588235294,0.01,deepseekv4pro,2,mixed,0.1,7,finetune,878,8,6,2,1.0
eval_ant_hh,0.7443751392292272,0.6492537313432836,0.0,0.01,deepseekv4pro,2,mixed,0.1,7,finetune,878,8,6,2,1.0
eval_balanced_refusal,0.82855,0.695,0.725,0.01,deepseekv4pro,2,mixed,0.1,7,finetune,878,8,6,2,1.0
eval_daily_dilemmas,0.98432944606414,0.8061224489795918,0.673469387755102,0.01,deepseekv4pro,2,mixed,0.1,7,finetune,878,8,6,2,1.0
mean,0.8325716480534455,0.6625940450807188,0.3790291116446578,0.01,deepseekv4pro,2,mixed,0.1,7,finetune,878,8,6,2,1.0
eval_ai_dilemmas,0.8131487889273357,0.5073529411764706,0.0,0.01,deepseekv4pro,2,mixed,1.0,13,finetune,878,8,6,2,1.0
eval_ant_hh,0.7269993316997104,0.6716417910447762,0.0,0.01,deepseekv4pro,2,mixed,1.0,13,finetune,878,8,6,2,1.0
eval_balanced_refusal,0.8258375,0.7275,0.605,0.01,deepseekv4pro,2,mixed,1.0,13,finetune,878,8,6,2,1.0
eval_daily_dilemmas,0.9790712203248646,0.8775510204081632,0.7040816326530612,0.01,deepseekv4pro,2,mixed,1.0,13,finetune,878,8,6,2,1.0
mean,0.8362642102379776,0.6960114381573524,0.3272704081632653,0.01,deepseekv4pro,2,mixed,1.0,13,finetune,878,8,6,2,1.0
eval_ai_dilemmas,0.9934039792387545,0.8161764705882353,0.8970588235294118,0.01,deepseekv4pro,2,mixed,1.0,42,finetune,878,8,6,2,1.0
eval_ant_hh,0.7239919803965248,0.6716417910447762,0.0,0.01,deepseekv4pro,2,mixed,1.0,42,finetune,878,8,6,2,1.0
eval_balanced_refusal,0.8914375,0.7525,0.635,0.01,deepseekv4pro,2,mixed,1.0,42,finetune,878,8,6,2,1.0
eval_daily_dilemmas,0.9867242815493544,0.9438775510204082,0.9285714285714286,0.01,deepseekv4pro,2,mixed,1.0,42,finetune,878,8,6,2,1.0
mean,0.8988894352961584,0.7960489531633549,0.6151575630252102,0.01,deepseekv4pro,2,mixed,1.0,42,finetune,878,8,6,2,1.0
eval_ai_dilemmas,0.5471453287197232,0.5,0.0,0.01,deepseekv4pro,2,mixed,1.0,7,finetune,878,8,6,2,1.0
eval_ant_hh,0.7243261305413232,0.6492537313432836,0.0,0.01,deepseekv4pro,2,mixed,1.0,7,finetune,878,8,6,2,1.0
eval_balanced_refusal,0.8379625,0.73,0.685,0.01,deepseekv4pro,2,mixed,1.0,7,finetune,878,8,6,2,1.0
eval_daily_dilemmas,0.9550187421907538,0.8673469387755102,0.0,0.01,deepseekv4pro,2,mixed,1.0,7,finetune,878,8,6,2,1.0
mean,0.7661131753629501,0.6866501675296984,0.17125,0.01,deepseekv4pro,2,mixed,1.0,7,finetune,878,8,6,2,1.0
eval_ai_dilemmas,0.9878892733564014,0.9705882352941176,0.0,0.01,deepseekv4pro,30,dev,0.1,13,finetune,878,120,94,26,14.0
eval_ant_hh,0.7568500779683671,0.7014925373134329,0.0,0.01,deepseekv4pro,30,dev,0.1,13,finetune,878,120,94,26,14.0
eval_balanced_refusal,0.9048625,0.83,0.635,0.01,deepseekv4pro,30,dev,0.1,13,finetune,878,120,94,26,14.0
eval_daily_dilemmas,0.9713140358184088,0.9591836734693876,0.826530612244898,0.01,deepseekv4pro,30,dev,0.1,13,finetune,878,120,94,26,14.0
mean,0.9052289717857944,0.8653161115192346,0.3653826530612245,0.01,deepseekv4pro,30,dev,0.1,13,finetune,878,120,94,26,14.0
eval_ai_dilemmas,0.9950259515570934,0.9632352941176472,0.0,0.01,deepseekv4pro,30,dev,0.1,42,finetune,878,120,94,26,27.0
eval_ant_hh,0.752283359322789,0.6940298507462687,0.0,0.01,deepseekv4pro,30,dev,0.1,42,finetune,878,120,94,26,27.0
eval_balanced_refusal,0.9612375,0.88,0.82,0.01,deepseekv4pro,30,dev,0.1,42,finetune,878,120,94,26,27.0
eval_daily_dilemmas,0.9812057476051644,0.9591836734693876,0.8163265306122449,0.01,deepseekv4pro,30,dev,0.1,42,finetune,878,120,94,26,27.0
mean,0.9224381396212616,0.8741122045833258,0.4090816326530612,0.01,deepseekv4pro,30,dev,0.1,42,finetune,878,120,94,26,27.0
eval_ai_dilemmas,0.99405276816609,0.9558823529411764,0.9411764705882352,0.01,deepseekv4pro,30,dev,0.1,7,finetune,878,120,94,26,11.0
eval_ant_hh,0.7713299175762975,0.7238805970149254,0.0,0.01,deepseekv4pro,30,dev,0.1,7,finetune,878,120,94,26,11.0
eval_balanced_refusal,0.895775,0.805,0.53,0.01,deepseekv4pro,30,dev,0.1,7,finetune,878,120,94,26,11.0
eval_daily_dilemmas,0.9905768429820908,0.9591836734693876,0.8877551020408163,0.01,deepseekv4pro,30,dev,0.1,7,finetune,878,120,94,26,11.0
mean,0.9129336321811196,0.8609866558563725,0.589732893157263,0.01,deepseekv4pro,30,dev,0.1,7,finetune,878,120,94,26,11.0
eval_ai_dilemmas,0.9985942906574397,0.9779411764705882,0.0,0.01,deepseekv4pro,30,dev,1.0,13,finetune,878,120,94,26,2.0
eval_ant_hh,0.7871463577634217,0.7089552238805971,0.0,0.01,deepseekv4pro,30,dev,1.0,13,finetune,878,120,94,26,2.0
eval_balanced_refusal,0.9268,0.835,0.645,0.01,deepseekv4pro,30,dev,1.0,13,finetune,878,120,94,26,2.0
eval_daily_dilemmas,0.984225322782174,0.9489795918367347,0.0,0.01,deepseekv4pro,30,dev,1.0,13,finetune,878,120,94,26,2.0
mean,0.9241914928007589,0.8677189980469799,0.16125,0.01,deepseekv4pro,30,dev,1.0,13,finetune,878,120,94,26,2.0
eval_ai_dilemmas,0.9989186851211072,0.9852941176470588,0.0,0.01,deepseekv4pro,30,dev,1.0,42,finetune,878,120,94,26,3.0
eval_ant_hh,0.7617509467587437,0.7089552238805971,0.0,0.01,deepseekv4pro,30,dev,1.0,42,finetune,878,120,94,26,3.0
eval_balanced_refusal,0.9724,0.8775,0.835,0.01,deepseekv4pro,30,dev,1.0,42,finetune,878,120,94,26,3.0
eval_daily_dilemmas,0.9899000416493128,0.9591836734693876,0.8775510204081632,0.01,deepseekv4pro,30,dev,1.0,42,finetune,878,120,94,26,3.0
mean,0.9307424183822908,0.8827332537492609,0.4281377551020408,0.01,deepseekv4pro,30,dev,1.0,42,finetune,878,120,94,26,3.0
eval_ai_dilemmas,0.9989186851211072,0.9485294117647058,0.0,0.01,deepseekv4pro,30,dev,1.0,7,finetune,878,120,94,26,2.0
eval_ant_hh,0.7865894408554243,0.746268656716418,0.0,0.01,deepseekv4pro,30,dev,1.0,7,finetune,878,120,94,26,2.0
eval_balanced_refusal,0.929725,0.855,0.58,0.01,deepseekv4pro,30,dev,1.0,7,finetune,878,120,94,26,2.0
eval_daily_dilemmas,0.9925031236984588,0.9540816326530612,0.8979591836734694,0.01,deepseekv4pro,30,dev,1.0,7,finetune,878,120,94,26,2.0
mean,0.9269340624187477,0.8759699252835462,0.3694897959183673,0.01,deepseekv4pro,30,dev,1.0,7,finetune,878,120,94,26,2.0
eval_ai_dilemmas,0.9926470588235294,0.9632352941176472,0.0,0.01,deepseekv4pro,30,mixed,0.1,13,finetune,878,120,94,26,25.0
eval_ant_hh,0.7584094453107596,0.7164179104477612,0.0,0.01,deepseekv4pro,30,mixed,0.1,13,finetune,878,120,94,26,25.0
eval_balanced_refusal,0.9165625,0.8325,0.67,0.01,deepseekv4pro,30,mixed,0.1,13,finetune,878,120,94,26,25.0
eval_daily_dilemmas,0.974645980841316,0.9642857142857144,0.8571428571428571,0.01,deepseekv4pro,30,mixed,0.1,13,finetune,878,120,94,26,25.0
mean,0.9105662462439011,0.8691097297127807,0.3817857142857143,0.01,deepseekv4pro,30,mixed,0.1,13,finetune,878,120,94,26,25.0
eval_ai_dilemmas,0.9958910034602076,0.9705882352941176,0.0,0.01,deepseekv4pro,30,mixed,0.1,42,finetune,878,120,94,26,59.0
eval_ant_hh,0.7501670750723992,0.6940298507462687,0.0,0.01,deepseekv4pro,30,mixed,0.1,42,finetune,878,120,94,26,59.0
eval_balanced_refusal,0.9666125,0.875,0.835,0.01,deepseekv4pro,30,mixed,0.1,42,finetune,878,120,94,26,59.0
eval_daily_dilemmas,0.9822469804248232,0.9591836734693876,0.8163265306122449,0.01,deepseekv4pro,30,mixed,0.1,42,finetune,878,120,94,26,59.0
mean,0.9237293897393576,0.8747004398774435,0.4128316326530612,0.01,deepseekv4pro,30,mixed,0.1,42,finetune,878,120,94,26,59.0
eval_ai_dilemmas,0.995242214532872,0.9705882352941176,0.9411764705882352,0.01,deepseekv4pro,30,mixed,0.1,7,finetune,878,120,94,26,46.0
eval_ant_hh,0.7679884161283136,0.7089552238805971,0.0,0.01,deepseekv4pro,30,mixed,0.1,7,finetune,878,120,94,26,46.0
eval_balanced_refusal,0.919625,0.825,0.58,0.01,deepseekv4pro,30,mixed,0.1,7,finetune,878,120,94,26,46.0
eval_daily_dilemmas,0.9909412744689712,0.9642857142857144,0.9081632653061223,0.01,deepseekv4pro,30,mixed,0.1,7,finetune,878,120,94,26,46.0
mean,0.9184492262825392,0.8672072933651073,0.6073349339735894,0.01,deepseekv4pro,30,mixed,0.1,7,finetune,878,120,94,26,46.0
eval_ai_dilemmas,0.9985942906574394,0.9779411764705882,0.0,0.01,deepseekv4pro,30,mixed,1.0,13,finetune,878,120,94,26,14.0
eval_ant_hh,0.7889284918690131,0.7164179104477612,0.0,0.01,deepseekv4pro,30,mixed,1.0,13,finetune,878,120,94,26,14.0
eval_balanced_refusal,0.92315,0.8325,0.625,0.01,deepseekv4pro,30,mixed,1.0,13,finetune,878,120,94,26,14.0
eval_daily_dilemmas,0.98432944606414,0.9489795918367347,0.0,0.01,deepseekv4pro,30,mixed,1.0,13,finetune,878,120,94,26,14.0
mean,0.923750557147648,0.868959669688771,0.15625,0.01,deepseekv4pro,30,mixed,1.0,13,finetune,878,120,94,26,14.0
eval_ai_dilemmas,0.9989186851211072,0.9852941176470588,0.0,0.01,deepseekv4pro,30,mixed,1.0,42,finetune,878,120,94,26,3.0
eval_ant_hh,0.7617509467587437,0.7089552238805971,0.0,0.01,deepseekv4pro,30,mixed,1.0,42,finetune,878,120,94,26,3.0
eval_balanced_refusal,0.9724,0.8775,0.835,0.01,deepseekv4pro,30,mixed,1.0,42,finetune,878,120,94,26,3.0
eval_daily_dilemmas,0.9899000416493128,0.9591836734693876,0.8775510204081632,0.01,deepseekv4pro,30,mixed,1.0,42,finetune,878,120,94,26,3.0
mean,0.9307424183822908,0.8827332537492609,0.4281377551020408,0.01,deepseekv4pro,30,mixed,1.0,42,finetune,878,120,94,26,3.0
eval_ai_dilemmas,0.9990268166089964,0.9485294117647058,0.0,0.01,deepseekv4pro,30,mixed,1.0,7,finetune,878,120,94,26,8.0
eval_ant_hh,0.7865894408554244,0.746268656716418,0.0,0.01,deepseekv4pro,30,mixed,1.0,7,finetune,878,120,94,26,8.0
eval_balanced_refusal,0.9298625,0.855,0.58,0.01,deepseekv4pro,30,mixed,1.0,7,finetune,878,120,94,26,8.0
eval_daily_dilemmas,0.9925031236984588,0.9540816326530612,0.8979591836734694,0.01,deepseekv4pro,30,mixed,1.0,7,finetune,878,120,94,26,8.0
mean,0.92699547029072,0.8759699252835462,0.3694897959183673,0.01,deepseekv4pro,30,mixed,1.0,7,finetune,878,120,94,26,8.0
eval_ai_dilemmas,0.9670198961937716,0.8161764705882353,0.6470588235294118,0.01,deepseekv4pro,8,dev,0.1,13,finetune,878,32,24,8,1.0
eval_ant_hh,0.7496101581644018,0.6865671641791045,0.0,0.01,deepseekv4pro,8,dev,0.1,13,finetune,878,32,24,8,1.0
eval_balanced_refusal,0.861125,0.8075,0.57,0.01,deepseekv4pro,8,dev,0.1,13,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.9691795085381092,0.9285714285714286,0.7142857142857143,0.01,deepseekv4pro,8,dev,0.1,13,finetune,878,32,24,8,1.0
mean,0.8867336407240707,0.8097037658346922,0.4828361344537815,0.01,deepseekv4pro,8,dev,0.1,13,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.97469723183391,0.9044117647058824,0.75,0.01,deepseekv4pro,8,dev,0.1,42,finetune,878,32,24,8,1.0
eval_ant_hh,0.7130764089997772,0.664179104477612,0.0,0.01,deepseekv4pro,8,dev,0.1,42,finetune,878,32,24,8,1.0
eval_balanced_refusal,0.9385125,0.835,0.695,0.01,deepseekv4pro,8,dev,0.1,42,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.9742294877134527,0.903061224489796,0.5714285714285714,0.01,deepseekv4pro,8,dev,0.1,42,finetune,878,32,24,8,1.0
mean,0.9001289071367851,0.8266630234183225,0.5041071428571429,0.01,deepseekv4pro,8,dev,0.1,42,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.9275519031141868,0.6985294117647058,0.7205882352941176,0.01,deepseekv4pro,8,dev,0.1,7,finetune,878,32,24,8,1.0
eval_ant_hh,0.7480507908220093,0.7164179104477612,0.0,0.01,deepseekv4pro,8,dev,0.1,7,finetune,878,32,24,8,1.0
eval_balanced_refusal,0.8124874999999998,0.755,0.43,0.01,deepseekv4pro,8,dev,0.1,7,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.9671491045397752,0.8979591836734694,0.673469387755102,0.01,deepseekv4pro,8,dev,0.1,7,finetune,878,32,24,8,1.0
mean,0.8638098246189927,0.7669766264714841,0.4560144057623049,0.01,deepseekv4pro,8,dev,0.1,7,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.997621107266436,0.9191176470588236,0.0,0.01,deepseekv4pro,8,dev,1.0,13,finetune,878,32,24,8,1.0
eval_ant_hh,0.6848964134551125,0.5970149253731343,0.0,0.01,deepseekv4pro,8,dev,1.0,13,finetune,878,32,24,8,1.0
eval_balanced_refusal,0.867275,0.6875,0.365,0.01,deepseekv4pro,8,dev,1.0,13,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.97667638483965,0.8316326530612245,0.6632653061224489,0.01,deepseekv4pro,8,dev,1.0,13,finetune,878,32,24,8,1.0
mean,0.8816172263902997,0.7588163063732956,0.2570663265306122,0.01,deepseekv4pro,8,dev,1.0,13,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.9991349480968856,0.9705882352941176,0.9705882352941176,0.01,deepseekv4pro,8,dev,1.0,42,finetune,878,32,24,8,1.0
eval_ant_hh,0.6975941189574516,0.6567164179104478,0.0,0.01,deepseekv4pro,8,dev,1.0,42,finetune,878,32,24,8,1.0
eval_balanced_refusal,0.8302875000000001,0.7225,0.255,0.01,deepseekv4pro,8,dev,1.0,42,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.98432944606414,0.8775510204081632,0.5816326530612245,0.01,deepseekv4pro,8,dev,1.0,42,finetune,878,32,24,8,1.0
mean,0.8778365032796194,0.8068389184031821,0.4518052220888355,0.01,deepseekv4pro,8,dev,1.0,42,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.955666089965398,0.75,0.6911764705882353,0.01,deepseekv4pro,8,dev,1.0,7,finetune,878,32,24,8,1.0
eval_ant_hh,0.7494987747828024,0.6940298507462687,0.0,0.01,deepseekv4pro,8,dev,1.0,7,finetune,878,32,24,8,1.0
